"filename", "language", "PHP", "XML", "JavaScript", "JSON", "Markdown", "PostCSS", "comment", "blank", "total"
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/text-input.blade.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 2, 4
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/components/write-review.blade.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 10, 102
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/dashboard.blade.php", "PHP", 257, 0, 0, 0, 0, 0, 0, 38, 295
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/feed/index.blade.php", "PHP", 186, 0, 0, 0, 0, 0, 0, 23, 209
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/footer.blade.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 4, 81
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/genres/index.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 4, 7
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/genres/show.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 12, 71
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/header.blade.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 21, 125
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/home.blade.php", "PHP", 172, 0, 0, 0, 0, 0, 0, 24, 196
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/layouts/app.blade.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 9, 33
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/layouts/guest.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 5, 31
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/layouts/navigation.blade.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 13, 101
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/lists/create.blade.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 8, 63
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/lists/index.blade.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 11, 132
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/lists/show.blade.php", "PHP", 194, 0, 0, 0, 0, 0, 0, 15, 209
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/movies/index.blade.php", "PHP", 159, 0, 0, 0, 0, 0, 0, 20, 179
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/movies/recommendations.blade.php", "PHP", 237, 0, 0, 0, 0, 0, 13, 41, 291
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/movies/search.blade.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 18, 105
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/movies/show.blade.php", "PHP", 308, 0, 0, 0, 0, 0, 2, 29, 339
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/movies/top.blade.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 3, 20
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/people/index.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/people/show.blade.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 18, 83
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/profile/edit.blade.php", "PHP", 201, 0, 0, 0, 0, 0, 1, 23, 225
